# Region type : faceZone fz_solid_63
# Faces  :    1714
# Area   :    1.016626e-01
# Time        	sum(phi)
20            	-1.226493e-05
40            	-9.973651e-06
60            	-8.777397e-06
80            	-8.445025e-06
100           	-8.923390e-06
120           	-9.933449e-06
140           	-1.111480e-05
160           	-1.291974e-05
180           	-1.332152e-05
200           	-1.176379e-05
220           	-6.600539e-06
240           	4.601228e-06
260           	2.077028e-05
280           	3.609941e-05
300           	4.769739e-05
320           	5.920191e-05
340           	7.370556e-05
360           	9.084283e-05
380           	1.088531e-04
400           	1.253770e-04
420           	1.376800e-04
440           	1.473689e-04
460           	1.560739e-04
480           	1.654434e-04
500           	1.765479e-04
520           	1.870551e-04
540           	1.955452e-04
560           	2.017482e-04
580           	2.066896e-04
600           	2.101922e-04
620           	2.124833e-04
640           	2.136561e-04
660           	2.143058e-04
680           	2.149645e-04
700           	2.154914e-04
720           	2.161606e-04
740           	2.168059e-04
760           	2.174454e-04
780           	2.182394e-04
800           	2.192052e-04
820           	2.202513e-04
840           	2.212854e-04
860           	2.223296e-04
880           	2.232814e-04
900           	2.240397e-04
920           	2.247819e-04
940           	2.255567e-04
960           	2.263116e-04
980           	2.270596e-04
1000          	2.278268e-04
1020          	2.286703e-04
1040          	2.295860e-04
1060          	2.305361e-04
1080          	2.315041e-04
1100          	2.324450e-04
