# Region      : cellZone cz_solid_67
# Cells       : 1903
# Volume      : 2.141732e-03
# Time        	volIntegrate(U)
20            	(-1.815213e-09 -3.712124e-09 1.353219e-09)
40            	(-2.312624e-09 -6.607886e-09 1.621414e-09)
60            	(-3.075326e-09 -9.602378e-09 2.007855e-09)
80            	(-3.838260e-09 -1.249804e-08 2.387884e-09)
100           	(-4.567120e-09 -1.553952e-08 2.764793e-09)
120           	(-5.254404e-09 -1.890512e-08 3.133271e-09)
140           	(-6.523735e-09 -2.297408e-08 3.712163e-09)
160           	(-7.155948e-09 -2.781312e-08 4.113752e-09)
180           	(-7.392447e-09 -3.293471e-08 4.304945e-09)
200           	(-7.514612e-09 -3.831645e-08 4.457293e-09)
220           	(-7.421763e-09 -4.377829e-08 4.552070e-09)
240           	(-7.088482e-09 -4.918642e-08 4.594756e-09)
260           	(-6.540512e-09 -5.450772e-08 4.575288e-09)
280           	(-5.820351e-09 -5.975483e-08 4.475658e-09)
300           	(-4.938898e-09 -6.493357e-08 4.324980e-09)
320           	(-3.933819e-09 -7.008605e-08 4.174548e-09)
340           	(-2.900440e-09 -7.534167e-08 4.059274e-09)
360           	(-1.944582e-09 -8.083904e-08 4.004995e-09)
380           	(-1.159881e-09 -8.664550e-08 4.009177e-09)
400           	(-5.970898e-10 -9.271796e-08 4.049674e-09)
420           	(-2.420544e-10 -9.892641e-08 4.099324e-09)
440           	(-3.765423e-11 -1.051249e-07 4.144083e-09)
460           	(8.037110e-11 -1.112107e-07 4.180420e-09)
480           	(1.586115e-10 -1.171302e-07 4.208924e-09)
500           	(2.236146e-10 -1.228566e-07 4.231324e-09)
520           	(2.863255e-10 -1.283741e-07 4.248688e-09)
540           	(3.502978e-10 -1.336710e-07 4.263143e-09)
560           	(4.157060e-10 -1.387403e-07 4.275278e-09)
580           	(4.825535e-10 -1.435844e-07 4.284732e-09)
600           	(5.513400e-10 -1.482150e-07 4.290621e-09)
620           	(6.233406e-10 -1.526497e-07 4.291771e-09)
640           	(6.998615e-10 -1.569083e-07 4.287427e-09)
660           	(7.814623e-10 -1.610088e-07 4.277975e-09)
680           	(8.687692e-10 -1.649668e-07 4.264055e-09)
700           	(9.610402e-10 -1.687939e-07 4.247750e-09)
720           	(1.055775e-09 -1.724981e-07 4.231567e-09)
740           	(1.149487e-09 -1.760830e-07 4.217488e-09)
760           	(1.239897e-09 -1.795479e-07 4.206013e-09)
780           	(1.325633e-09 -1.828948e-07 4.196526e-09)
800           	(1.403670e-09 -1.861340e-07 4.186832e-09)
820           	(1.474317e-09 -1.892824e-07 4.174988e-09)
840           	(1.543338e-09 -1.923567e-07 4.162632e-09)
860           	(1.612785e-09 -1.953791e-07 4.149110e-09)
880           	(1.682207e-09 -1.983758e-07 4.132897e-09)
900           	(1.753701e-09 -2.013672e-07 4.114315e-09)
920           	(1.826424e-09 -2.043657e-07 4.094185e-09)
940           	(1.898096e-09 -2.073762e-07 4.073649e-09)
960           	(1.966959e-09 -2.103972e-07 4.053753e-09)
980           	(2.032002e-09 -2.134234e-07 4.035165e-09)
1000          	(2.092890e-09 -2.164483e-07 4.018309e-09)
1020          	(2.149395e-09 -2.194656e-07 4.003559e-09)
1040          	(2.201597e-09 -2.224704e-07 3.990984e-09)
1060          	(2.249890e-09 -2.254592e-07 3.980358e-09)
1080          	(2.295049e-09 -2.284298e-07 3.971262e-09)
1100          	(2.337802e-09 -2.313812e-07 3.963286e-09)
1120          	(2.378544e-09 -2.343130e-07 3.956043e-09)
1140          	(2.417379e-09 -2.372260e-07 3.949358e-09)
1160          	(2.454354e-09 -2.401211e-07 3.942991e-09)
1180          	(2.489448e-09 -2.430000e-07 3.936905e-09)
1200          	(2.522599e-09 -2.458652e-07 3.931182e-09)
1220          	(2.553769e-09 -2.487186e-07 3.925756e-09)
1240          	(2.587093e-09 -2.515631e-07 3.922618e-09)
1260          	(2.611839e-09 -2.543986e-07 3.916372e-09)
1280          	(2.633666e-09 -2.572212e-07 3.911045e-09)
1300          	(2.665442e-09 -2.600548e-07 3.904898e-09)
1320          	(2.680633e-09 -2.628403e-07 3.917539e-09)
1340          	(2.720182e-09 -2.656259e-07 3.926607e-09)
1360          	(2.653985e-09 -2.684831e-07 3.914393e-09)
1380          	(1.291800e-09 -2.729039e-07 3.553493e-09)
1400          	(-3.534334e-08 -2.908035e-07 8.773229e-09)
1420          	(-9.190812e-08 -5.886043e-07 -3.784335e-08)
1440          	(-5.603714e-07 -1.940111e-06 1.624209e-07)
1460          	(-3.065534e-06 -8.164336e-06 8.678889e-07)
1480          	(-1.482461e-05 -3.527489e-05 9.766708e-07)
1500          	(-6.860766e-05 -1.631189e-04 4.869366e-06)
