# Region      : cellZone cz_solid_72
# Cells       : 2170
# Volume      : 2.144568e-03
# Time        	volIntegrate(U)
1020          	(-1.392256e-10 -7.025398e-08 -7.644648e-10)
1040          	(-1.527590e-10 -6.771677e-08 -7.491535e-10)
1060          	(-1.662595e-10 -6.516717e-08 -7.343031e-10)
1080          	(-1.796049e-10 -6.260627e-08 -7.196042e-10)
1100          	(-1.927899e-10 -6.003690e-08 -7.050890e-10)
1120          	(-2.057000e-10 -5.746293e-08 -6.912907e-10)
1140          	(-2.180740e-10 -5.488922e-08 -6.785882e-10)
1160          	(-2.298214e-10 -5.231930e-08 -6.669189e-10)
1180          	(-2.407553e-10 -4.975449e-08 -6.561536e-10)
1200          	(-2.509963e-10 -4.719539e-08 -6.458805e-10)
1220          	(-2.608713e-10 -4.464301e-08 -6.360693e-10)
1240          	(-2.704051e-10 -4.209857e-08 -6.267575e-10)
1260          	(-2.795262e-10 -3.956272e-08 -6.178194e-10)
