# Region type : faceZone fz_solid_74
# Faces  :    1734
# Area   :    1.017252e-01
# Time        	sum(phi)
20            	4.684657e-05
40            	4.490307e-05
60            	2.202841e-05
80            	-2.799973e-05
100           	-1.004540e-04
120           	-1.554478e-04
140           	-1.600120e-04
160           	-1.389922e-04
180           	-1.098929e-04
200           	-8.129939e-05
220           	-6.111516e-05
240           	-4.739607e-05
260           	-3.757640e-05
280           	-3.039319e-05
300           	-2.470473e-05
320           	-2.018646e-05
340           	-1.613652e-05
360           	-1.244988e-05
380           	-9.155451e-06
400           	-6.099122e-06
420           	-3.341952e-06
440           	-7.557531e-07
460           	1.612274e-06
480           	3.847603e-06
500           	5.938125e-06
520           	7.940363e-06
540           	9.637195e-06
560           	1.074487e-05
580           	1.104931e-05
600           	1.031440e-05
620           	8.485651e-06
640           	5.852005e-06
660           	2.739963e-06
680           	-6.438080e-07
700           	-3.802500e-06
720           	-6.563356e-06
740           	-8.751439e-06
760           	-1.041152e-05
780           	-1.156448e-05
800           	-1.228579e-05
820           	-1.264925e-05
840           	-1.272386e-05
860           	-1.255003e-05
880           	-1.218674e-05
900           	-1.154333e-05
920           	-1.048236e-05
940           	-8.368078e-06
960           	-4.937502e-06
980           	-1.509950e-06
