# Region      : cellZone cz_solid_24
# Cells       : 1968
# Volume      : 2.142360e-03
# Time        	volIntegrateU
20            	-3.472907e-09 -7.857020e-09 -2.503867e-09
40            	-3.554472e-09 -1.248340e-08 -2.278365e-09
60            	-3.708422e-09 -1.620191e-08 -2.198438e-09
80            	-3.895546e-09 -1.929935e-08 -2.164562e-09
100           	-4.096581e-09 -2.202949e-08 -2.151870e-09
120           	-4.283821e-09 -2.459289e-08 -2.135859e-09
140           	-4.524978e-09 -2.722228e-08 -2.132044e-09
160           	-4.784295e-09 -3.002940e-08 -2.181149e-09
180           	-4.946489e-09 -3.305365e-08 -2.180057e-09
200           	-5.080098e-09 -3.631631e-08 -2.177893e-09
220           	-5.178040e-09 -3.980062e-08 -2.170044e-09
240           	-5.231670e-09 -4.347011e-08 -2.151688e-09
260           	-5.227927e-09 -4.727532e-08 -2.111199e-09
280           	-5.161569e-09 -5.116464e-08 -2.041886e-09
300           	-5.029867e-09 -5.507901e-08 -1.933160e-09
320           	-4.835202e-09 -5.896385e-08 -1.770336e-09
340           	-4.584076e-09 -6.277498e-08 -1.539858e-09
360           	-4.286304e-09 -6.649987e-08 -1.238649e-09
380           	-3.955032e-09 -7.016873e-08 -8.709632e-10
400           	-3.609325e-09 -7.384443e-08 -4.369065e-10
420           	-3.272141e-09 -7.760083e-08 5.053109e-11
440           	-2.962685e-09 -8.151597e-08 5.494151e-10
460           	-2.690354e-09 -8.564373e-08 1.005630e-09
480           	-2.456629e-09 -8.999079e-08 1.379101e-09
500           	-2.262447e-09 -9.451730e-08 1.659513e-09
520           	-2.108162e-09 -9.915608e-08 1.857740e-09
540           	-1.989571e-09 -1.038414e-07 1.994783e-09
560           	-1.899954e-09 -1.085172e-07 2.090712e-09
580           	-1.831665e-09 -1.131382e-07 2.162413e-09
600           	-1.777898e-09 -1.176711e-07 2.220785e-09
620           	-1.732105e-09 -1.220939e-07 2.273009e-09
640           	-1.689188e-09 -1.263985e-07 2.323428e-09
660           	-1.644776e-09 -1.305886e-07 2.375486e-09
680           	-1.595338e-09 -1.346772e-07 2.431825e-09
700           	-1.539077e-09 -1.386803e-07 2.494241e-09
720           	-1.475147e-09 -1.426106e-07 2.563514e-09
740           	-1.403320e-09 -1.464770e-07 2.639782e-09
760           	-1.323788e-09 -1.502822e-07 2.722897e-09
780           	-1.237032e-09 -1.540221e-07 2.812912e-09
800           	-1.146002e-09 -1.576859e-07 2.909736e-09
820           	-1.057731e-09 -1.612545e-07 3.012124e-09
840           	-9.816040e-10 -1.647015e-07 3.112022e-09
860           	-9.204719e-10 -1.679994e-07 3.197210e-09
880           	-8.693768e-10 -1.711415e-07 3.266286e-09
900           	-8.211950e-10 -1.741578e-07 3.325717e-09
920           	-7.724949e-10 -1.771039e-07 3.380595e-09
940           	-7.232136e-10 -1.800306e-07 3.435201e-09
960           	-6.756516e-10 -1.829676e-07 3.489415e-09
980           	-6.338164e-10 -1.859235e-07 3.541077e-09
1000          	-5.997750e-10 -1.888965e-07 3.590556e-09
1020          	-5.725350e-10 -1.918818e-07 3.640202e-09
1040          	-5.498240e-10 -1.948717e-07 3.690778e-09
1060          	-5.306059e-10 -1.978560e-07 3.740637e-09
1080          	-5.142660e-10 -2.008235e-07 3.788005e-09
1100          	-5.004082e-10 -2.037659e-07 3.832272e-09
1120          	-4.883822e-10 -2.066783e-07 3.873672e-09
1140          	-4.776956e-10 -2.095595e-07 3.912657e-09
1160          	-4.681224e-10 -2.124104e-07 3.949555e-09
1180          	-4.592215e-10 -2.152339e-07 3.984920e-09
1200          	-4.506829e-10 -2.180340e-07 4.019246e-09
1220          	-4.419691e-10 -2.208138e-07 4.053150e-09
1240          	-4.329706e-10 -2.235767e-07 4.086684e-09
1260          	-4.238022e-10 -2.263243e-07 4.119704e-09
1280          	-4.147276e-10 -2.290561e-07 4.151768e-09
1300          	-4.060913e-10 -2.317708e-07 4.182439e-09
1320          	-3.980967e-10 -2.344666e-07 4.211490e-09
1340          	-3.907319e-10 -2.371416e-07 4.238744e-09
1360          	-3.839208e-10 -2.397962e-07 4.264411e-09
1380          	-3.775463e-10 -2.424313e-07 4.288531e-09
1400          	-3.714995e-10 -2.450481e-07 4.311181e-09
1420          	-3.657030e-10 -2.476480e-07 4.332410e-09
1440          	-3.602063e-10 -2.502328e-07 4.352194e-09
1460          	-3.548771e-10 -2.528031e-07 4.370672e-09
1480          	-3.498796e-10 -2.553603e-07 4.387822e-09
1500          	-3.452932e-10 -2.579048e-07 4.403692e-09
1520          	-3.411179e-10 -2.604368e-07 4.418390e-09
1540          	-3.375679e-10 -2.629566e-07 4.431797e-09
1560          	-3.344930e-10 -2.654635e-07 4.444165e-09
1580          	-3.320071e-10 -2.679586e-07 4.455503e-09
1600          	-3.300135e-10 -2.704412e-07 4.465978e-09
1620          	-3.283750e-10 -2.729122e-07 4.475722e-09
1640          	-3.269561e-10 -2.753719e-07 4.484873e-09
1660          	-3.256799e-10 -2.778211e-07 4.493493e-09
1680          	-3.244447e-10 -2.802606e-07 4.501620e-09
1700          	-3.231664e-10 -2.826908e-07 4.509283e-09
1720          	-3.219385e-10 -2.851124e-07 4.516439e-09
1740          	-3.207897e-10 -2.875256e-07 4.523081e-09
1760          	-3.197752e-10 -2.899307e-07 4.529197e-09
1780          	-3.189782e-10 -2.923282e-07 4.534716e-09
1800          	-3.182188e-10 -2.947179e-07 4.539848e-09
1820          	-3.176592e-10 -2.971010e-07 4.544462e-09
1840          	-3.170856e-10 -2.994775e-07 4.548822e-09
1860          	-3.165010e-10 -3.018479e-07 4.552859e-09
1880          	-3.159187e-10 -3.042134e-07 4.556555e-09
1900          	-3.154590e-10 -3.065739e-07 4.559869e-09
1920          	-3.148551e-10 -3.089296e-07 4.562986e-09
1940          	-3.142598e-10 -3.112812e-07 4.565791e-09
1960          	-3.137401e-10 -3.136291e-07 4.568274e-09
1980          	-3.132534e-10 -3.159728e-07 4.570424e-09
2000          	-3.127714e-10 -3.183124e-07 4.572325e-09
2020          	-3.124122e-10 -3.206487e-07 4.573921e-09
2040          	-3.120905e-10 -3.229805e-07 4.575280e-09
2060          	-3.118442e-10 -3.253093e-07 4.576410e-09
2080          	-3.117258e-10 -3.276347e-07 4.577297e-09
2100          	-3.116117e-10 -3.299568e-07 4.578038e-09
2120          	-3.114774e-10 -3.322756e-07 4.578700e-09
2140          	-3.113744e-10 -3.345919e-07 4.579192e-09
2160          	-3.112621e-10 -3.369057e-07 4.579629e-09
2180          	-3.111640e-10 -3.392175e-07 4.579975e-09
2200          	-3.111453e-10 -3.415275e-07 4.580197e-09
2220          	-3.111155e-10 -3.438359e-07 4.580403e-09
2240          	-3.111523e-10 -3.461431e-07 4.580502e-09
2260          	-3.111319e-10 -3.484489e-07 4.580710e-09
2280          	-3.111643e-10 -3.507536e-07 4.580867e-09
2300          	-3.111969e-10 -3.530575e-07 4.580909e-09
2320          	-3.112275e-10 -3.553606e-07 4.580953e-09
2340          	-3.112365e-10 -3.576628e-07 4.581048e-09
2360          	-3.111984e-10 -3.599641e-07 4.581017e-09
