# Region type : faceZone fz_solid_54
# Faces  :    1736
# Area   :    1.017200e-01
# Time        	sum(phi)
20            	4.168983e-05
40            	3.196159e-05
60            	9.915463e-06
80            	-2.331166e-05
100           	-6.343210e-05
120           	-9.256611e-05
140           	-8.587635e-05
160           	-6.966780e-05
180           	-4.670655e-05
200           	-3.206072e-05
220           	-2.182115e-05
240           	-1.344936e-05
260           	-6.803476e-06
280           	-1.508299e-06
300           	2.714410e-06
320           	6.073435e-06
340           	8.863312e-06
360           	1.124934e-05
380           	1.333105e-05
400           	1.514981e-05
420           	1.673450e-05
440           	1.815331e-05
460           	1.942825e-05
480           	2.058070e-05
500           	2.165226e-05
520           	2.267741e-05
540           	2.360412e-05
560           	2.432702e-05
580           	2.471303e-05
600           	2.465441e-05
620           	2.430814e-05
640           	2.403997e-05
660           	2.404943e-05
680           	2.427532e-05
700           	2.456642e-05
720           	2.486693e-05
740           	2.511903e-05
760           	2.528822e-05
780           	2.538385e-05
800           	2.541587e-05
820           	2.538175e-05
840           	2.531024e-05
860           	2.520392e-05
880           	2.505848e-05
900           	2.489937e-05
920           	2.474221e-05
940           	2.462918e-05
960           	2.457702e-05
980           	2.459022e-05
1000          	2.464580e-05
1020          	2.470146e-05
