# Region      : cellZone cz_solid_20
# Cells       : 2192
# Volume      : 2.142217e-03
# Time        	volIntegrate(U)
20            	(1.398318e-09 -7.958537e-09 -2.984573e-09)
40            	(1.040293e-09 -1.185647e-08 -2.280685e-09)
60            	(7.781807e-10 -1.430669e-08 -1.945332e-09)
80            	(5.857579e-10 -1.554910e-08 -1.757127e-09)
100           	(4.391446e-10 -1.600050e-08 -1.643318e-09)
120           	(3.262614e-10 -1.598619e-08 -1.568598e-09)
140           	(2.771766e-10 -1.573562e-08 -1.525175e-09)
160           	(1.834360e-10 -1.542862e-08 -1.504086e-09)
180           	(1.454740e-10 -1.512693e-08 -1.486545e-09)
200           	(1.219548e-10 -1.487491e-08 -1.476635e-09)
220           	(1.062482e-10 -1.468755e-08 -1.470755e-09)
240           	(9.747804e-11 -1.456839e-08 -1.467021e-09)
260           	(9.673903e-11 -1.451553e-08 -1.461893e-09)
280           	(1.027529e-10 -1.453548e-08 -1.450462e-09)
300           	(1.100335e-10 -1.464519e-08 -1.431917e-09)
320           	(1.122682e-10 -1.486776e-08 -1.409275e-09)
340           	(1.094778e-10 -1.521399e-08 -1.387934e-09)
360           	(1.051828e-10 -1.567336e-08 -1.369072e-09)
380           	(1.039438e-10 -1.622477e-08 -1.355337e-09)
400           	(1.053198e-10 -1.684092e-08 -1.340142e-09)
420           	(1.067125e-10 -1.749521e-08 -1.317360e-09)
440           	(1.063458e-10 -1.816506e-08 -1.283869e-09)
460           	(1.032950e-10 -1.883616e-08 -1.237591e-09)
480           	(9.619589e-11 -1.949914e-08 -1.174188e-09)
500           	(8.547987e-11 -2.014239e-08 -1.089590e-09)
520           	(7.306209e-11 -2.075232e-08 -9.804123e-10)
540           	(6.064275e-11 -2.132087e-08 -8.474621e-10)
560           	(4.850722e-11 -2.184904e-08 -6.970745e-10)
580           	(3.509426e-11 -2.234367e-08 -5.384311e-10)
600           	(1.826764e-11 -2.281570e-08 -3.826100e-10)
620           	(-3.021043e-12 -2.327823e-08 -2.389061e-10)
640           	(-2.787311e-11 -2.374340e-08 -1.134626e-10)
660           	(-5.383188e-11 -2.421826e-08 -8.944376e-12)
680           	(-7.832954e-11 -2.470164e-08 7.539528e-11)
700           	(-1.000678e-10 -2.518562e-08 1.430337e-10)
720           	(-1.190478e-10 -2.565958e-08 1.977652e-10)
740           	(-1.361318e-10 -2.611457e-08 2.434771e-10)
760           	(-1.520945e-10 -2.654470e-08 2.830477e-10)
780           	(-1.675522e-10 -2.694752e-08 3.185005e-10)
800           	(-1.827540e-10 -2.732267e-08 3.509139e-10)
820           	(-1.975908e-10 -2.767088e-08 3.807153e-10)
840           	(-2.116921e-10 -2.799316e-08 4.076977e-10)
860           	(-2.246015e-10 -2.828996e-08 4.315131e-10)
880           	(-2.359180e-10 -2.856057e-08 4.516490e-10)
900           	(-2.452535e-10 -2.880327e-08 4.677632e-10)
920           	(-2.525089e-10 -2.901585e-08 4.801143e-10)
940           	(-2.577872e-10 -2.919648e-08 4.894848e-10)
960           	(-2.615916e-10 -2.934462e-08 4.972744e-10)
980           	(-2.645761e-10 -2.946146e-08 5.049137e-10)
1000          	(-2.675697e-10 -2.954992e-08 5.132707e-10)
1020          	(-2.710016e-10 -2.961423e-08 5.221838e-10)
