# Region      : cellZone cz_solid_75
# Cells       : 1988
# Volume      : 2.143020e-03
# Time        	volIntegrateU
20            	8.882944e-09 -2.086021e-08 1.893140e-09
40            	8.237159e-09 -4.255908e-08 3.608076e-09
60            	4.433621e-09 -6.541177e-08 5.252143e-09
80            	-2.603807e-09 -8.581021e-08 5.534016e-09
100           	-8.835483e-09 -9.938600e-08 2.260265e-09
120           	-1.081611e-08 -1.048853e-07 -2.812167e-09
140           	-9.919698e-09 -1.032273e-07 -5.797930e-09
160           	-8.348425e-09 -9.874018e-08 -6.326185e-09
180           	-6.703382e-09 -9.289273e-08 -5.797502e-09
200           	-5.356896e-09 -8.665083e-08 -4.993695e-09
220           	-4.346279e-09 -8.035962e-08 -4.248281e-09
240           	-3.611088e-09 -7.411373e-08 -3.638444e-09
260           	-3.078273e-09 -6.791970e-08 -3.154547e-09
280           	-2.683361e-09 -6.175485e-08 -2.769548e-09
300           	-2.380706e-09 -5.559041e-08 -2.461187e-09
320           	-2.138395e-09 -4.940353e-08 -2.209132e-09
340           	-1.937758e-09 -4.317928e-08 -1.999365e-09
360           	-1.766014e-09 -3.690742e-08 -1.820624e-09
380           	-1.618029e-09 -3.058433e-08 -1.668369e-09
400           	-1.487831e-09 -2.421012e-08 -1.538244e-09
420           	-1.371793e-09 -1.779901e-08 -1.425616e-09
440           	-1.268120e-09 -1.136513e-08 -1.327161e-09
460           	-1.175472e-09 -4.919614e-09 -1.240154e-09
480           	-1.091691e-09 1.530564e-09 -1.159341e-09
500           	-1.015740e-09 7.985224e-09 -1.080091e-09
520           	-9.508796e-10 1.444945e-08 -9.976957e-10
540           	-9.042620e-10 2.092927e-08 -9.113574e-10
560           	-8.815766e-10 2.742509e-08 -8.250181e-10
580           	-8.822467e-10 3.391686e-08 -7.469988e-10
600           	-9.028831e-10 4.037029e-08 -6.870413e-10
620           	-9.357849e-10 4.675803e-08 -6.516923e-10
640           	-9.741354e-10 5.306459e-08 -6.360018e-10
660           	-1.013677e-09 5.928268e-08 -6.348652e-10
680           	-1.049893e-09 6.540997e-08 -6.422106e-10
700           	-1.080456e-09 7.144769e-08 -6.526804e-10
720           	-1.105574e-09 7.739896e-08 -6.633559e-10
740           	-1.125168e-09 8.326683e-08 -6.730123e-10
760           	-1.140168e-09 8.905443e-08 -6.816185e-10
780           	-1.151483e-09 9.476455e-08 -6.893458e-10
800           	-1.159624e-09 1.003992e-07 -6.962634e-10
820           	-1.164915e-09 1.059589e-07 -7.022859e-10
840           	-1.167239e-09 1.114419e-07 -7.074402e-10
860           	-1.166328e-09 1.168438e-07 -7.114184e-10
880           	-1.161872e-09 1.221575e-07 -7.141334e-10
900           	-1.153450e-09 1.273726e-07 -7.153960e-10
920           	-1.140462e-09 1.324773e-07 -7.151184e-10
940           	-1.122335e-09 1.374603e-07 -7.137581e-10
960           	-1.099369e-09 1.423114e-07 -7.122609e-10
980           	-1.072935e-09 1.470220e-07 -7.110379e-10
1000          	-1.046124e-09 1.515876e-07 -7.086917e-10
1020          	-1.022473e-09 1.560129e-07 -7.029903e-10
